id,cause_of_death,dead_or_missing,route,year,month
67,drowning or exhaustion,1,Eastern Mediterranean Route,2015,12
68,unknown,33,Eastern Mediterranean Route,2015,12
69,malicious intent,4,,2015,11
70,drowning or exhaustion,4,Eastern Mediterranean Route,2015,11
71,drowning or exhaustion,2,Eastern Mediterranean Route,2015,11
72,authorities related death,6,,2015,11
73,unknown,1,Eastern Mediterranean Route,2015,11
74,violent accidental death,18,,2015,11
75,malicious intent,1,,2015,11
76,violent accidental death,1,,2015,11
77,unknown,2,,2015,11
78,unknown,18,Western African Route,2015,11
79,unknown,15,Eastern Mediterranean Route,2015,11
80,violent accidental death,1,,2015,11
81,unknown,11,Eastern Mediterranean Route,2015,11
82,unknown,1,Eastern Mediterranean Route,2015,11
83,violent accidental death,1,Eastern Mediterranean Route,2015,11
84,unknown,1,Eastern Mediterranean Route,2015,11
85,authorities related death,15,,2015,11
86,unknown,6,Eastern Mediterranean Route,2015,11
87,drowning or exhaustion,14,Eastern Mediterranean Route,2015,11
88,unknown,2,Eastern Mediterranean Route,2015,11
89,drowning or exhaustion,1,Eastern Mediterranean Route,2015,11
90,drowning or exhaustion,2,Eastern Mediterranean Route,2015,11
91,unknown,4,Eastern Mediterranean Route,2015,11
92,drowning or exhaustion,4,Eastern Mediterranean Route,2015,11
93,unknown,10,Eastern Mediterranean Route,2015,11
94,unknown,41,Eastern Mediterranean Route,2015,10
95,other,1,Western Balkan Route,2015,10
96,drowning or exhaustion,15,Eastern Mediterranean Route,2015,11
97,unknown,43,Western Mediterranean Route,2015,10
98,drowning or exhaustion,8,Eastern Mediterranean Route,2015,10
99,drowning or exhaustion,6,Eastern Mediterranean Route,2015,10
100,unknown,19,Eastern Mediterranean Route,2015,10
101,unknown,1,,2015,10
102,unknown,3,Eastern Mediterranean Route,2015,10
103,unknown,4,Eastern Mediterranean Route,2015,10
104,unknown,1,Eastern Mediterranean Route,2015,10
105,unknown,3,Eastern Mediterranean Route,2015,10
106,unknown,1,Eastern Mediterranean Route,2015,10
107,unknown,1,Eastern Mediterranean Route,2015,10
108,drowning or exhaustion,10,Eastern Mediterranean Route,2015,10
109,drowning or exhaustion,1,Western Mediterranean Route,2015,10
110,violent accidental death,1,,2015,10
111,unknown,43,Central Mediterranean Route,2015,10
112,unknown,15,Eastern Mediterranean Route,2015,10
113,unknown,6,Eastern Mediterranean Route,2015,10
114,unknown,3,Eastern Mediterranean Route,2015,10
115,drowning or exhaustion,1,Eastern Mediterranean Route,2015,10
116,drowning or exhaustion,23,Eastern Mediterranean Route,2015,10
117,drowning or exhaustion,7,Eastern Mediterranean Route,2015,10
118,unknown,5,Eastern Mediterranean Route,2015,10
119,unknown,1,Eastern Mediterranean Route,2015,10
120,authorities related death,1,Eastern Mediterranean Route,2015,10
121,violent accidental death,1,,2015,10
122,drowning or exhaustion,3,Eastern Mediterranean Route,2015,10
123,violent accidental death,1,,2015,10
124,unknown,12,Eastern Mediterranean Route,2015,10
125,drowning or exhaustion,8,Eastern Mediterranean Route,2015,10
126,drowning or exhaustion,11,Western Mediterranean Route,2015,10
127,unknown,1,Eastern Mediterranean Route,2015,10
128,authorities related death,2,Western Mediterranean Route,2015,10
129,unknown,2,Eastern Mediterranean Route,2015,10
130,violent accidental death,1,Western Balkan Route,2015,10
131,unknown,10,Central Mediterranean Route,2015,10
132,unknown,85,Central Mediterranean Route,2015,10
133,violent accidental death,1,,2015,10
134,unknown,2,Eastern Mediterranean Route,2015,9
135,unknown,6,Eastern Mediterranean Route,2015,9
136,violent accidental death,1,,2015,9
137,unknown,7,Eastern Mediterranean Route,2015,9
138,drowning or exhaustion,17,Eastern Mediterranean Route,2015,9
139,violent accidental death,1,,2015,9
140,violent accidental death,1,,2015,9
141,unknown,2,Eastern Mediterranean Route,2015,9
142,unknown,1,,2015,9
143,unknown,15,Eastern Mediterranean Route,2015,9
144,drowning or exhaustion,1,Eastern Mediterranean Route,2015,9
145,unknown,26,Eastern Mediterranean Route,2015,9
146,unknown,7,Western Mediterranean Route,2015,9
147,violent accidental death,1,,2015,9
148,drowning or exhaustion,22,Eastern Mediterranean Route,2015,9
149,drowning or exhaustion,2,Eastern Mediterranean Route,2015,9
150,unknown,4,Eastern Mediterranean Route,2015,9
151,unknown,34,Eastern Mediterranean Route,2015,9
152,violent accidental death,1,Western Balkan Route,2015,9
153,unknown,1,Western Mediterranean Route,2015,9
154,violent accidental death,1,Eastern Mediterranean Route,2015,9
155,violent accidental death,1,Western Balkan Route,2015,9
156,unknown,30,Central Mediterranean Route,2015,9
157,unknown,1,Eastern Mediterranean Route,2015,9
158,unknown,4,Central Mediterranean Route,2015,9
159,drowning or exhaustion,12,Eastern Mediterranean Route,2015,9
160,unknown,37,Central Mediterranean Route,2015,8
161,violent accidental death,1,Eastern Mediterranean Route,2015,8
162,unknown,200,Central Mediterranean Route,2015,8
163,drowning or exhaustion,71,Western Balkan Route,2015,8
164,drowning or exhaustion,1,Central Mediterranean Route,2015,8
165,unknown,52,Central Mediterranean Route,2015,8
166,drowning or exhaustion,3,Eastern Mediterranean Route,2015,8
167,unknown,7,Eastern Mediterranean Route,2015,8
168,unknown,1,Eastern Mediterranean Route,2015,8
169,unknown,1,Eastern Mediterranean Route,2015,8
170,drowning or exhaustion,6,Eastern Mediterranean Route,2015,8
171,unknown,1,Central Mediterranean Route,2015,8
172,drowning or exhaustion,49,Central Mediterranean Route,2015,8
173,authorities related death,1,Western Mediterranean Route,2015,8
174,unknown,225,Central Mediterranean Route,2015,8
175,drowning or exhaustion,1,Western Mediterranean Route,2015,8
176,unknown,4,Western Mediterranean Route,2015,8
177,unknown,5,Central Mediterranean Route,2015,8
178,violent accidental death,1,,2015,7
179,violent accidental death,1,,2015,7
180,violent accidental death,1,Western Balkan Route,2015,7
181,malicious intent,1,Western Mediterranean Route,2015,7
182,drowning or exhaustion,12,Central Mediterranean Route,2015,7
183,unknown,16,Eastern Mediterranean Route,2015,7
184,drowning or exhaustion,1,,2015,7
185,violent accidental death,1,,2015,7
186,unknown,1,,2015,7
187,unknown,1,,2015,7
188,malicious intent,1,Central Mediterranean Route,2015,7
189,unknown,30,Central Mediterranean Route,2015,7
190,unknown,14,Central Mediterranean Route,2015,7
191,violent accidental death,1,,2015,7
192,violent accidental death,1,,2015,7
193,unknown,30,Central Mediterranean Route,2015,6
194,malicious intent,1,Central Mediterranean Route,2015,6
195,drowning or exhaustion,18,Central Mediterranean Route,2015,6
196,violent accidental death,1,,2015,6
197,drowning or exhaustion,3,Central Mediterranean Route,2015,6
198,drowning or exhaustion,18,Central Mediterranean Route,2015,6
199,violent accidental death,1,,2015,6
200,unknown,17,Central Mediterranean Route,2015,5
201,unknown,11,Central Mediterranean Route,2015,5
202,drowning or exhaustion,5,Central Mediterranean Route,2015,5
203,drowning or exhaustion,5,Central Mediterranean Route,2015,5
204,drowning or exhaustion,1,,2015,5
205,drowning or exhaustion,40,Central Mediterranean Route,2015,5
206,drowning or exhaustion,10,Central Mediterranean Route,2015,5
207,drowning or exhaustion,3,Central Mediterranean Route,2015,5
208,violent accidental death,14,Western Balkan Route,2015,4
209,violent accidental death,1,Apulia and Calabria Route,2015,4
210,drowning or exhaustion,400,Central Mediterranean Route,2015,4
211,drowning or exhaustion,3,Eastern Mediterranean Route,2015,4
212,drowning or exhaustion,800,Central Mediterranean Route,2015,4
213,violent accidental death,1,Central Mediterranean Route,2015,4
214,drowning or exhaustion,41,Central Mediterranean Route,2015,4
215,drowning or exhaustion,12,Central Mediterranean Route,2015,4
216,drowning or exhaustion,400,Central Mediterranean Route,2015,4
217,drowning or exhaustion,9,Central Mediterranean Route,2015,4
218,unknown,1,Central Mediterranean Route,2015,4
219,drowning or exhaustion,1,Central Mediterranean Route,2015,4
220,drowning or exhaustion,11,Eastern Mediterranean Route,2015,4
221,drowning or exhaustion,5,Eastern Mediterranean Route,2015,3
222,drowning or exhaustion,12,Western African Route,2015,3
223,drowning or exhaustion,50,Central Mediterranean Route,2015,3
224,drowning or exhaustion,2,,2015,2
225,suicide,1,,2015,2
226,drowning or exhaustion,300,Central Mediterranean Route,2015,2
227,drowning or exhaustion,1,,2015,2
228,drowning or exhaustion,29,Central Mediterranean Route,2015,2
229,drowning or exhaustion,8,Western Mediterranean Route,2015,1
230,drowning or exhaustion,21,Central Mediterranean Route,2015,1
231,violent accidental death,12,,2015,1
232,drowning or exhaustion,6,Western Mediterranean Route,2015,1
233,drowning or exhaustion,1,Central Mediterranean Route,2014,9
234,drowning or exhaustion,70,Central Mediterranean Route,2014,9
235,drowning or exhaustion,45,Central Mediterranean Route,2014,9
236,drowning or exhaustion,6,Central Mediterranean Route,2014,9
237,drowning or exhaustion,225,Central Mediterranean Route,2014,9
238,drowning or exhaustion,15,Central Mediterranean Route,2014,9
239,drowning or exhaustion,500,Central Mediterranean Route,2014,9
240,drowning or exhaustion,2,Central Mediterranean Route,2014,9
241,drowning or exhaustion,160,Central Mediterranean Route,2014,9
242,drowning or exhaustion,15,Central Mediterranean Route,2014,8
243,drowning or exhaustion,100,Central Mediterranean Route,2014,8
244,drowning or exhaustion,36,Central Mediterranean Route,2014,8
245,drowning or exhaustion,41,Central Mediterranean Route,2014,8
246,unknown,1,,2014,8
247,drowning or exhaustion,24,Central Mediterranean Route,2014,8
248,unknown,18,Central Mediterranean Route,2014,8
249,unknown,18,Central Mediterranean Route,2014,8
250,unknown,270,Central Mediterranean Route,2014,8
251,violent accidental death,1,Eastern Mediterranean Route,2014,8
252,authorities related death,1,,2014,8
253,unknown,1,,2014,8
254,unknown,2,Central Mediterranean Route,2014,8
255,drowning or exhaustion,150,Central Mediterranean Route,2014,7
256,drowning or exhaustion,128,Central Mediterranean Route,2014,7
257,violent accidental death,1,,2014,7
258,malicious intent,129,Central Mediterranean Route,2014,7
259,drowning or exhaustion,52,Central Mediterranean Route,2014,7
260,drowning or exhaustion,19,Central European Route,2014,7
261,violent accidental death,10,Central Mediterranean Route,2014,7
262,drowning or exhaustion,3,Central Mediterranean Route,2014,7
263,drowning or exhaustion,41,Central Mediterranean Route,2014,7
264,drowning or exhaustion,3,Central Mediterranean Route,2014,7
265,drowning or exhaustion,2,,2014,7
266,drowning or exhaustion,212,Central Mediterranean Route,2014,7
267,drowning or exhaustion,45,Central Mediterranean Route,2014,7
268,drowning or exhaustion,75,Central Mediterranean Route,2014,7
269,unknown,11,Western Mediterranean Route,2014,6
270,drowning or exhaustion,6,Eastern Mediterranean Route,2014,6
271,drowning or exhaustion,13,,2014,6
272,drowning or exhaustion,45,Central Mediterranean Route,2014,6
273,authorities related death,1,,2014,6
274,unknown,1,Central Mediterranean Route,2014,6
275,drowning or exhaustion,30,Central Mediterranean Route,2014,6
276,drowning or exhaustion,95,Central Mediterranean Route,2014,6
277,drowning or exhaustion,4,Central Mediterranean Route,2014,6
278,drowning or exhaustion,5,Central Mediterranean Route,2014,6
279,drowning or exhaustion,1,Eastern Mediterranean Route,2014,6
280,drowning or exhaustion,1,,2014,5
281,violent accidental death,1,,2014,5
282,violent accidental death,1,,2014,5
283,unknown,1,,2014,5
284,unknown,1,,2014,5
285,violent accidental death,1,,2014,5
286,drowning or exhaustion,3,Western Mediterranean Route,2014,5
287,drowning or exhaustion,217,Central Mediterranean Route,2014,5
288,drowning or exhaustion,40,Central Mediterranean Route,2014,5
289,drowning or exhaustion,46,,2014,5
290,violent accidental death,1,Central Mediterranean Route,2014,5
291,drowning or exhaustion,90,Central Mediterranean Route,2014,5
292,drowning or exhaustion,22,Eastern Mediterranean Route,2014,5
293,drowning or exhaustion,78,Central Mediterranean Route,2014,5
294,unknown,4,Central Mediterranean Route,2014,5
295,drowning or exhaustion,10,,2014,4
296,drowning or exhaustion,40,Central Mediterranean Route,2014,4
297,unknown,1,Central Mediterranean Route,2014,4
298,drowning or exhaustion,1,,2014,3
299,drowning or exhaustion,4,Eastern Mediterranean Route,2014,3
300,drowning or exhaustion,6,,2014,3
301,drowning or exhaustion,9,Eastern Mediterranean Route,2014,3
302,drowning or exhaustion,1,Eastern Mediterranean Route,2014,3
303,malicious intent,1,,2014,2
304,authorities related death,13,Western Mediterranean Route,2014,2
305,malicious intent,1,,2014,2
306,unknown,4,Eastern Mediterranean Route,2014,12
307,drowning or exhaustion,4,Central Mediterranean Route,2014,12
308,drowning or exhaustion,9,Western Mediterranean Route,2014,12
309,violent accidental death,1,,2014,12
310,drowning or exhaustion,20,Western Mediterranean Route,2014,12
311,drowning or exhaustion,17,Central Mediterranean Route,2014,12
312,drowning or exhaustion,10,Western Mediterranean Route,2014,12
313,unknown,18,,2014,11
314,violent accidental death,2,,2014,11
315,drowning or exhaustion,1,,2014,11
316,drowning or exhaustion,30,Eastern Mediterranean Route,2014,11
317,drowning or exhaustion,2,Western Mediterranean Route,2014,11
318,violent accidental death,3,,2014,10
319,drowning or exhaustion,38,Western African Route,2014,10
320,drowning or exhaustion,40,Central Mediterranean Route,2014,10
321,drowning or exhaustion,90,Central Mediterranean Route,2014,10
322,drowning or exhaustion,8,Central Mediterranean Route,2014,10
323,drowning or exhaustion,12,Eastern Mediterranean Route,2014,1
324,drowning or exhaustion,10,Central Mediterranean Route,2013,9
325,drowning or exhaustion,13,Central Mediterranean Route,2013,9
326,authorities related death,1,,2013,9
327,authorities related death,2,Eastern Mediterranean Route,2013,9
328,drowning or exhaustion,1,Western African Route,2013,9
329,drowning or exhaustion,12,Western Mediterranean Route,2013,9
330,drowning or exhaustion,60,Central Mediterranean Route,2013,9
331,violent accidental death,3,Eastern Mediterranean Route,2013,9
332,drowning or exhaustion,1,Central Mediterranean Route,2013,9
333,unknown,1,,2013,9
334,drowning or exhaustion,6,Central Mediterranean Route,2013,8
335,drowning or exhaustion,1,Apulia and Calabria Route,2013,8
336,drowning or exhaustion,3,Central Mediterranean Route,2013,8
337,unknown,1,Western Mediterranean Route,2013,7
338,drowning or exhaustion,24,Eastern Mediterranean Route,2013,7
339,drowning or exhaustion,31,Central Mediterranean Route,2013,7
340,malicious intent,1,,2013,7
341,drowning or exhaustion,31,Central Mediterranean Route,2013,7
342,drowning or exhaustion,2,Eastern Mediterranean Route,2013,7
343,drowning or exhaustion,1,,2013,7
344,drowning or exhaustion,10,Eastern Mediterranean Route,2013,7
345,drowning or exhaustion,1,Western Mediterranean Route,2013,7
346,drowning or exhaustion,1,Eastern Mediterranean Route,2013,7
347,suicide,1,,2013,6
348,drowning or exhaustion,2,Apulia and Calabria Route,2013,6
349,authorities related death,12,,2013,5
350,drowning or exhaustion,2,Central Mediterranean Route,2013,5
351,suicide,1,,2013,5
352,drowning or exhaustion,1,Eastern Mediterranean Route,2013,5
353,suicide,1,,2013,5
354,drowning or exhaustion,10,Western Mediterranean Route,2013,4
355,drowning or exhaustion,1,Western Mediterranean Route,2013,4
356,drowning or exhaustion,1,,2013,3
357,drowning or exhaustion,1,Central Mediterranean Route,2013,3
358,drowning or exhaustion,2,Western Mediterranean Route,2013,3
359,drowning or exhaustion,4,Western Mediterranean Route,2013,3
360,malicious intent,1,,2013,12
361,violent accidental death,1,Western Mediterranean Route,2013,12
362,drowning or exhaustion,12,Eastern Mediterranean Route,2013,11
363,drowning or exhaustion,87,Central Mediterranean Route,2013,11
364,drowning or exhaustion,27,Central Mediterranean Route,2013,10
365,drowning or exhaustion,34,Central Mediterranean Route,2013,10
366,drowning or exhaustion,325,Central Mediterranean Route,2013,10
367,drowning or exhaustion,1,,2013,1
368,drowning or exhaustion,1,Eastern Mediterranean Route,2013,1
369,suicide,1,,2013,1
370,drowning or exhaustion,3,Eastern Mediterranean Route,2013,1
371,suicide,1,,2013,1
372,suicide,1,,2013,1
373,drowning or exhaustion,1,Western Mediterranean Route,2012,9
374,drowning or exhaustion,1,Western Mediterranean Route,2012,9
375,drowning or exhaustion,1,Western Mediterranean Route,2012,9
376,violent accidental death,1,,2012,9
377,drowning or exhaustion,1,Central Mediterranean Route,2012,9
378,drowning or exhaustion,2,Western Mediterranean Route,2012,9
379,authorities related death,1,,2012,9
380,unknown,1,,2012,9
381,suicide,1,,2012,9
382,suicide,1,,2012,9
383,drowning or exhaustion,7,Eastern Mediterranean Route,2012,8
384,drowning or exhaustion,40,Central Mediterranean Route,2012,8
385,violent accidental death,1,,2012,8
386,drowning or exhaustion,39,Central Mediterranean Route,2012,8
387,drowning or exhaustion,1,Eastern Mediterranean Route,2012,8
388,drowning or exhaustion,2,Central Mediterranean Route,2012,8
389,unknown,10,,2012,8
390,drowning or exhaustion,6,,2012,8
391,drowning or exhaustion,1,Western Mediterranean Route,2012,8
392,unknown,27,,2012,8
393,drowning or exhaustion,6,,2012,8
394,drowning or exhaustion,1,Western Mediterranean Route,2012,7
395,suicide,1,,2012,7
396,drowning or exhaustion,79,Central Mediterranean Route,2012,7
397,drowning or exhaustion,1,Eastern Mediterranean Route,2012,7
398,authorities related death,1,,2012,6
399,authorities related death,1,,2012,6
400,malicious intent,1,Central Mediterranean Route,2012,6
401,drowning or exhaustion,1,Apulia and Calabria Route,2012,6
402,drowning or exhaustion,2,,2012,6
403,drowning or exhaustion,6,Apulia and Calabria Route,2012,6
404,drowning or exhaustion,2,Central Mediterranean Route,2012,6
405,drowning or exhaustion,31,Eastern Mediterranean Route,2012,6
406,drowning or exhaustion,30,Eastern Mediterranean Route,2012,6
407,drowning or exhaustion,64,Eastern Mediterranean Route,2012,6
408,drowning or exhaustion,3,,2012,6
409,drowning or exhaustion,20,Central Mediterranean Route,2012,5
410,drowning or exhaustion,10,Central Mediterranean Route,2012,5
411,drowning or exhaustion,1,Central Mediterranean Route,2012,5
412,unknown,15,,2012,5
413,drowning or exhaustion,5,,2012,5
414,drowning or exhaustion,7,Central Mediterranean Route,2012,5
415,drowning or exhaustion,3,Central Mediterranean Route,2012,5
416,drowning or exhaustion,1,Western Mediterranean Route,2012,5
417,drowning or exhaustion,1,Western Mediterranean Route,2012,4
418,violent accidental death,2,Eastern Mediterranean Route,2012,4
419,drowning or exhaustion,1,Central Mediterranean Route,2012,4
420,drowning or exhaustion,1,Apulia and Calabria Route,2012,4
421,drowning or exhaustion,10,Central Mediterranean Route,2012,4
422,drowning or exhaustion,10,Central Mediterranean Route,2012,3
423,unknown,1,Eastern Mediterranean Route,2012,3
424,drowning or exhaustion,1,Eastern Mediterranean Route,2012,3
425,unknown,5,Central Mediterranean Route,2012,3
426,drowning or exhaustion,1,Eastern Mediterranean Route,2012,3
427,unknown,1,Eastern Mediterranean Route,2012,2
428,drowning or exhaustion,1,Eastern Mediterranean Route,2012,2
429,unknown,2,Eastern Mediterranean Route,2012,2
430,drowning or exhaustion,1,Western Mediterranean Route,2012,2
431,drowning or exhaustion,1,Eastern Mediterranean Route,2012,2
432,unknown,1,Eastern Mediterranean Route,2012,2
433,drowning or exhaustion,1,,2012,2
434,drowning or exhaustion,2,Western Mediterranean Route,2012,2
435,unknown,29,Western Mediterranean Route,2012,2
436,drowning or exhaustion,27,Eastern Mediterranean Route,2012,12
437,drowning or exhaustion,1,Western African Route,2012,12
438,unknown,1,,2012,12
439,drowning or exhaustion,1,,2012,12
440,suicide,1,,2012,12
441,violent accidental death,1,,2012,12
442,drowning or exhaustion,1,Eastern Mediterranean Route,2012,12
443,unknown,12,Eastern Mediterranean Route,2012,11
444,suicide,1,,2012,11
445,suicide,1,,2012,11
446,drowning or exhaustion,3,Western Mediterranean Route,2012,11
447,drowning or exhaustion,1,Western Mediterranean Route,2012,11
448,drowning or exhaustion,1,Central Mediterranean Route,2012,11
449,drowning or exhaustion,89,Western Mediterranean Route,2012,11
450,drowning or exhaustion,1,Western Mediterranean Route,2012,11
451,drowning or exhaustion,11,Central Mediterranean Route,2012,11
452,malicious intent,1,,2012,10
453,drowning or exhaustion,2,Central Mediterranean Route,2012,10
454,drowning or exhaustion,54,Western Mediterranean Route,2012,10
455,drowning or exhaustion,1,Western African Route,2012,10
456,drowning or exhaustion,5,Western Mediterranean Route,2012,10
457,drowning or exhaustion,54,Central Mediterranean Route,2012,10
458,drowning or exhaustion,1,Eastern Mediterranean Route,2012,10
459,drowning or exhaustion,1,,2012,1
460,drowning or exhaustion,1,Eastern Mediterranean Route,2012,1
461,suicide,1,,2012,1
462,suicide,1,,2012,1
463,violent accidental death,5,,2012,1
464,drowning or exhaustion,55,Central Mediterranean Route,2012,1
465,authorities related death,2,,2012,1
466,unknown,1,Western Mediterranean Route,2012,1
467,drowning or exhaustion,4,Western Mediterranean Route,2012,1
468,unknown,40,Central Mediterranean Route,2012,1
469,unknown,1,Central Mediterranean Route,2012,1
470,unknown,15,Central Mediterranean Route,2012,1
471,violent accidental death,1,,2012,1
472,drowning or exhaustion,1,Western Mediterranean Route,2012,1
473,unknown,7,Central Mediterranean Route,2012,1
474,drowning or exhaustion,1,Central Mediterranean Route,2012,1
475,drowning or exhaustion,6,Central Mediterranean Route,2012,1
476,drowning or exhaustion,1,,2012,1
477,suicide,1,,2012,1
478,violent accidental death,4,,2011,9
479,drowning or exhaustion,2,,2011,9
480,drowning or exhaustion,3,Apulia and Calabria Route,2011,9
481,drowning or exhaustion,4,Eastern Mediterranean Route,2011,9
482,drowning or exhaustion,1,Western Mediterranean Route,2011,9
483,drowning or exhaustion,17,Central Mediterranean Route,2011,9
484,unknown,2,Western Mediterranean Route,2011,9
485,unknown,43,Central Mediterranean Route,2011,9
486,drowning or exhaustion,1,Western Mediterranean Route,2011,9
487,drowning or exhaustion,19,Apulia and Calabria Route,2011,9
488,drowning or exhaustion,14,Western Mediterranean Route,2011,9
489,drowning or exhaustion,1,Western Mediterranean Route,2011,8
490,authorities related death,1,Eastern Mediterranean Route,2011,8
491,drowning or exhaustion,2,Central Mediterranean Route,2011,8
492,authorities related death,2,,2011,8
493,drowning or exhaustion,3,Central Mediterranean Route,2011,8
494,authorities related death,1,,2011,8
495,unknown,2,Western Mediterranean Route,2011,8
496,suicide,1,,2011,8
497,drowning or exhaustion,1,Eastern Mediterranean Route,2011,7
498,drowning or exhaustion,30,Central Mediterranean Route,2011,7
499,violent accidental death,1,Western Mediterranean Route,2011,7
500,drowning or exhaustion,54,Western Mediterranean Route,2011,7
501,violent accidental death,2,,2011,7
502,authorities related death,1,,2011,7
503,drowning or exhaustion,1,,2011,6
504,drowning or exhaustion,1,Western Mediterranean Route,2011,6
505,authorities related death,4,,2011,6
506,drowning or exhaustion,1,Central Mediterranean Route,2011,6
507,drowning or exhaustion,45,Western Mediterranean Route,2011,6
508,drowning or exhaustion,1,Western Mediterranean Route,2011,6
509,unknown,1,Central Mediterranean Route,2011,6
510,drowning or exhaustion,1,Central Mediterranean Route,2011,6
511,drowning or exhaustion,2,Central Mediterranean Route,2011,6
512,drowning or exhaustion,1,Western Mediterranean Route,2011,6
513,unknown,2,Central Mediterranean Route,2011,6
514,unknown,1,Eastern Mediterranean Route,2011,6
515,drowning or exhaustion,45,Central Mediterranean Route,2011,6
516,drowning or exhaustion,3,Central Mediterranean Route,2011,6
517,drowning or exhaustion,26,Central Mediterranean Route,2011,6
518,drowning or exhaustion,220,Central Mediterranean Route,2011,6
519,drowning or exhaustion,18,Eastern Mediterranean Route,2011,6
520,drowning or exhaustion,2,Eastern Mediterranean Route,2011,5
521,drowning or exhaustion,4,Central Mediterranean Route,2011,5
522,unknown,3,Central Mediterranean Route,2011,5
523,malicious intent,4,Central Mediterranean Route,2011,5
524,unknown,25,,2011,5
525,drowning or exhaustion,1,Western Mediterranean Route,2011,5
526,drowning or exhaustion,330,Central Mediterranean Route,2011,5
527,drowning or exhaustion,3,,2011,5
528,drowning or exhaustion,3,,2011,5
529,drowning or exhaustion,1,Western Mediterranean Route,2011,5
530,drowning or exhaustion,2,,2011,5
531,drowning or exhaustion,58,Central Mediterranean Route,2011,5
532,drowning or exhaustion,5,Central Mediterranean Route,2011,5
533,drowning or exhaustion,17,Central Mediterranean Route,2011,5
534,drowning or exhaustion,600,Central Mediterranean Route,2011,5
535,drowning or exhaustion,3,Central Mediterranean Route,2011,5
536,drowning or exhaustion,24,Western Mediterranean Route,2011,5
537,drowning or exhaustion,61,,2011,5
538,drowning or exhaustion,1,Central Mediterranean Route,2011,5
539,drowning or exhaustion,25,Western Mediterranean Route,2011,5
540,drowning or exhaustion,1,Central Mediterranean Route,2011,4
541,malicious intent,1,Apulia and Calabria Route,2011,4
542,authorities related death,1,Central Mediterranean Route,2011,4
